Radio,Area
1,3.14
2,12.56
3,28.26
4,50.24
5,78.5
6,113.04
7,153.86
8,200.96
9,254.34
10,314
11,379.94
12,452.16
13,530.66
14,615.44
15,706.5
16,803.84
17,907.46
18,1017.36
19,1133.54
20,1256
21,1384.74
22,1519.76
23,1661.06
24,1808.64
25,1962.5
26,2122.64
27,2289.06
28,2461.76
29,2640.74
30,2826
31,3017.54
32,3215.36
33,3419.46
34,3629.84
35,3846.5
36,4069.44
37,4298.66
38,4534.16
39,4775.94
40,5024
41,5278.34
42,5538.96
43,5805.86
44,6079.04
45,6358.5
46,6644.24
47,6936.26
48,7234.56
49,7539.14
50,7850
51,8167.14
52,8490.56
53,8820.26
54,9156.24
55,9498.5
56,9847.04
57,10201.86
58,10562.96
59,10930.34
60,11304
61,11683.94
62,12070.16
63,12462.66
64,12861.44
65,13266.5
66,13677.84
67,14095.46
68,14519.36
69,14949.54
70,15386
71,15828.74
72,16277.76
73,16733.06
74,17194.64
75,17662.5
76,18136.64
77,18617.06
78,19103.76
79,19596.74
80,20096
81,20601.54
82,21113.36
83,21631.46
84,22155.84
85,22686.5
86,23223.44
87,23766.66
88,24316.16
89,24871.94
90,25434
91,26002.34
92,26576.96
93,27157.86
94,27745.04
95,28338.5
96,28938.24
97,29544.26
98,30156.56
99,30775.14
100,31400
